"rules","support","confidence","coverage","lift","count"
"{WOODLAND CHARLOTTE BAG,RED SPOTTY CHARLOTTE BAG} => {CHARLOTTE BAG , PINK/WHITE SPOTS}",0.0155561454738519,0.672018348623853,0.0231483939474383,14.6498444401971,293
"{RED SPOTTY CHARLOTTE BAG,CHARLOTTE BAG , PINK/WHITE SPOTS} => {STRAWBERRY CHARLOTTE BAG}",0.0159808866471994,0.527145359019264,0.0303159012476772,14.6442224736399,301
"{PINK BLUE FELT CRAFT TRINKET BOX} => {PINK CREAM FELT CRAFT TRINKET BOX}",0.021290151314043,0.615975422427035,0.0345633129811521,14.2880505928734,401
"{PINK CREAM FELT CRAFT TRINKET BOX} => {PINK BLUE FELT CRAFT TRINKET BOX}",0.021290151314043,0.49384236453202,0.0431112290947704,14.2880505928734,401
"{WOODLAND CHARLOTTE BAG,CHARLOTTE BAG , PINK/WHITE SPOTS} => {RED SPOTTY CHARLOTTE BAG}",0.0155561454738519,0.775132275132275,0.020069020440669,14.1195516461474,293
"{PLASTERS IN TIN SPACEBOY} => {PLASTERS IN TIN WOODLAND ANIMALS}",0.0158216087071941,0.446776611694153,0.0354127953278471,13.9552860385728,298
"{PLASTERS IN TIN WOODLAND ANIMALS} => {PLASTERS IN TIN SPACEBOY}",0.0158216087071941,0.494195688225539,0.0320148659410672,13.9552860385728,298
"{CHARLOTTE BAG SUKI DESIGN,CHARLOTTE BAG , PINK/WHITE SPOTS} => {RED SPOTTY CHARLOTTE BAG}",0.0173612954605787,0.75,0.0231483939474383,13.661750483559,327
"{PLASTERS IN TIN SPACEBOY} => {PLASTERS IN TIN CIRCUS PARADE}",0.0164056278205469,0.463268365817091,0.0354127953278471,13.3829136045474,309
"{PLASTERS IN TIN CIRCUS PARADE} => {PLASTERS IN TIN SPACEBOY}",0.0164056278205469,0.473926380368098,0.0346164056278205,13.3829136045474,309
"{84970L} => {84970S}",0.0213963366073799,0.628705148205928,0.0340323865144677,13.0847088027168,403
"{84970S} => {84970L}",0.0213963366073799,0.445303867403315,0.048048845234935,13.0847088027168,403
"{LARGE POPCORN HOLDER} => {SMALL POPCORN HOLDER}",0.0213963366073799,0.677310924369748,0.0315901247677197,13.0574731427883,403
"{SMALL POPCORN HOLDER} => {LARGE POPCORN HOLDER}",0.0213963366073799,0.412487205731832,0.0518715157950624,13.0574731427883,403
"{RETRO SPOT LARGE MILK JUG} => {RED RETROSPOT SMALL MILK JUG}",0.0173082028139103,0.518282988871224,0.0333952747544465,12.6942263919239,326
"{RED RETROSPOT SMALL MILK JUG} => {RETRO SPOT LARGE MILK JUG}",0.0173082028139103,0.423927178153446,0.0408282452880276,12.6942263919239,326
"{RED SPOTTY CHARLOTTE BAG,CHARLOTTE BAG , PINK/WHITE SPOTS} => {WOODLAND CHARLOTTE BAG}",0.0155561454738519,0.513134851138354,0.0303159012476772,12.6503860225012,293
"{TOY TIDY PINK RETROSPOT} => {RECYCLING BAG RETROSPOT}",0.0192726307406424,0.5671875,0.0339792938677993,12.6425758136095,363
"{RECYCLING BAG RETROSPOT} => {TOY TIDY PINK RETROSPOT}",0.0192726307406424,0.429585798816568,0.0448632864348288,12.6425758136095,363
"{RED SPOTTY CHARLOTTE BAG,CHARLOTTE BAG , PINK/WHITE SPOTS} => {CHARLOTTE BAG SUKI DESIGN}",0.0173612954605787,0.572679509632224,0.0303159012476772,12.1605620788308,327
"{82494L,85123A} => {WOODEN PICTURE FRAME WHITE FINISH}",0.0166179984072206,0.60541586073501,0.0274488983275816,12.1051037547175,313
"{CHARLOTTE BAG , PINK/WHITE SPOTS} => {RED SPOTTY CHARLOTTE BAG}",0.0303159012476772,0.66087962962963,0.0458720467215291,12.0383634662225,571
"{RED SPOTTY CHARLOTTE BAG} => {CHARLOTTE BAG , PINK/WHITE SPOTS}",0.0303159012476772,0.552224371373308,0.0548977966551633,12.0383634662225,571
"{JUMBO BAG SCANDINAVIAN PAISLEY} => {JUMBO BAG PINK VINTAGE PAISLEY}",0.0194319086806477,0.486702127659574,0.0399256702946642,11.9518051818358,366
"{JUMBO BAG PINK VINTAGE PAISLEY} => {JUMBO BAG SCANDINAVIAN PAISLEY}",0.0194319086806477,0.477183833116037,0.0407220599946907,11.9518051818358,366
"{STRAWBERRY CHARLOTTE BAG} => {CHARLOTTE BAG , PINK/WHITE SPOTS}",0.0192726307406424,0.535398230088496,0.0359968144411999,11.6715574811537,363
"{CHARLOTTE BAG , PINK/WHITE SPOTS} => {STRAWBERRY CHARLOTTE BAG}",0.0192726307406424,0.420138888888889,0.0458720467215291,11.6715574811537,363
"{WOODEN PICTURE FRAME WHITE FINISH,85123A} => {82494L}",0.0166179984072206,0.684901531728665,0.0242633395274754,11.6112694420427,313
"{STRAWBERRY CHARLOTTE BAG} => {RED SPOTTY CHARLOTTE BAG}",0.022511282187417,0.625368731563422,0.0359968144411999,11.391508761119,424
