"rules","support","confidence","coverage","lift","count"
"{18098c} => {DOTCOM POSTAGE}",0.00690204406689674,1,0.00690204406689674,25.6957708049113,130
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES BLUE} => {CHILDS GARDEN TROWEL PINK}",0.00530926466684364,1,0.00530926466684364,70.0185873605948,100
"{CHILDS GARDEN TROWEL BLUE,CHILDRENS GARDEN GLOVES BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN TROWEL PINK}",0.0062649323068755,1,0.0062649323068755,70.0185873605948,118
"{CHILDS GARDEN TROWEL BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN TROWEL PINK}",0.00674276612689143,0.9921875,0.00679585877355986,69.4715671468401,127
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK BLUE,CHILDS GARDEN FORK PINK} => {CHILDS GARDEN TROWEL PINK}",0.00828245288027608,0.987341772151899,0.00838863817361295,69.1322761281822,156
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE,CHILDS GARDEN FORK PINK} => {CHILDS GARDEN TROWEL BLUE}",0.00828245288027608,0.987341772151899,0.00838863817361295,72.3602423287199,156
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN TROWEL BLUE}",0.00546854260684895,0.980952380952381,0.00557472790018582,71.8919770242727,103
"{STRAWBERRY CERAMIC TRINKET BOX,ENVELOPE 50 ROMANTIC IMAGES} => {DOTCOM POSTAGE}",0.00541544996018052,0.980769230769231,0.00552163525351739,25.2016213663553,102
"{PACK OF 72 RETRO SPOT CAKE CASES,CHARLOTTE BAG , PINK/WHITE SPOTS,ANTIQUE SILVER TEA GLASS ETCHED} => {DOTCOM POSTAGE}",0.00541544996018052,0.980769230769231,0.00552163525351739,25.2016213663553,102
"{PACK OF 72 RETRO SPOT CAKE CASES,SMALL GLASS HEART TRINKET POT,ANTIQUE SILVER TEA GLASS ETCHED} => {DOTCOM POSTAGE}",0.00520307937350677,0.98,0.00530926466684364,25.1818553888131,98
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK PINK} => {CHILDS GARDEN TROWEL PINK}",0.00881337934696045,0.976470588235294,0.00902574993363419,68.3710911874043,166
"{POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BATHROOM} => {POPPY'S PLAYHOUSE KITCHEN}",0.00854791611361826,0.975757575757576,0.00876028670029201,53.7379939748361,161
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES BLUE} => {CHILDS GARDEN TROWEL BLUE}",0.00530926466684364,0.970873786407767,0.00546854260684895,71.1533376147482,100
"{CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN TROWEL PINK}",0.00530926466684364,0.970873786407767,0.00546854260684895,67.9792110297037,100
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES BLUE} => {CHILDRENS GARDEN GLOVES PINK}",0.00530926466684364,0.970873786407767,0.00546854260684895,68.7458938608657,100
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE,CHILDRENS GARDEN GLOVES BLUE} => {CHILDS GARDEN TROWEL BLUE}",0.00525617202017521,0.970588235294118,0.00541544996018052,71.1324101625086,99
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE} => {CHILDS GARDEN TROWEL BLUE}",0.00870719405362357,0.970414201183432,0.00897265728696576,71.1196555614394,164
"{RED SPOTTY CHARLOTTE BAG,STRAWBERRY CERAMIC TRINKET BOX,SMALL GLASS HEART TRINKET POT} => {DOTCOM POSTAGE}",0.00520307937350677,0.97029702970297,0.00536235731351208,24.9325300879338,98
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES BLUE} => {CHILDRENS GARDEN GLOVES PINK}",0.00514998672683833,0.97,0.00530926466684364,68.684022556391,97
