"rules","support","confidence","coverage","lift","count"
"{KIDS RAIN MAC BLUE} => {KIDS RAIN MAC PINK}",0.00552163525351739,0.852459016393443,0.00647730289354924,124.465624602872,104
"{KIDS RAIN MAC PINK} => {KIDS RAIN MAC BLUE}",0.00552163525351739,0.806201550387597,0.0068489514202283,124.465624602872,104
"{CHRISTMAS TREE DECORATION WITH BELL,CHRISTMAS TREE HEART DECORATION} => {CHRISTMAS TREE STAR DECORATION}",0.00514998672683833,0.866071428571429,0.00594637642686488,114.876446177062,97
"{CHRISTMAS TREE HEART DECORATION,CHRISTMAS TREE STAR DECORATION} => {CHRISTMAS TREE DECORATION WITH BELL}",0.00514998672683833,0.850877192982456,0.00605256172020175,107.558872012245,97
"{CAST IRON HOOK GARDEN FORK} => {CAST IRON HOOK GARDEN TROWEL}",0.00727369259357579,0.883870967741936,0.00822936023360765,107.404578563996,137
"{CAST IRON HOOK GARDEN TROWEL} => {CAST IRON HOOK GARDEN FORK}",0.00727369259357579,0.883870967741936,0.00822936023360765,107.404578563996,137
"{CHRISTMAS TREE DECORATION WITH BELL,CHRISTMAS TREE STAR DECORATION} => {CHRISTMAS TREE HEART DECORATION}",0.00514998672683833,0.866071428571429,0.00594637642686488,101.952845982143,97
"{CHRISTMAS TREE STAR DECORATION} => {CHRISTMAS TREE DECORATION WITH BELL}",0.00594637642686488,0.788732394366197,0.00753915582691797,99.7031855562908,112
"{CHRISTMAS TREE DECORATION WITH BELL} => {CHRISTMAS TREE STAR DECORATION}",0.00594637642686488,0.751677852348993,0.00791080435359703,99.7031855562908,112
"{CHRISTMAS TREE STAR DECORATION} => {CHRISTMAS TREE HEART DECORATION}",0.00605256172020175,0.802816901408451,0.00753915582691797,94.5066021126761,114
"{CHRISTMAS TREE HEART DECORATION} => {CHRISTMAS TREE STAR DECORATION}",0.00605256172020175,0.7125,0.00849482346694983,94.5066021126761,114
"{CHRISTMAS TREE HEART DECORATION} => {CHRISTMAS TREE DECORATION WITH BELL}",0.00594637642686488,0.7,0.00849482346694983,88.486577181208,112
"{CHRISTMAS TREE DECORATION WITH BELL} => {CHRISTMAS TREE HEART DECORATION}",0.00594637642686488,0.751677852348993,0.00791080435359703,88.486577181208,112
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES BLUE} => {CHILDS GARDEN FORK BLUE}",0.00504380143350146,0.95,0.00530926466684364,86.8604368932039,95
"{CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES BLUE} => {CHILDS GARDEN FORK BLUE}",0.00536235731351208,0.94392523364486,0.0056809131935227,86.3050086199075,101
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN FORK BLUE}",0.00530926466684364,0.943396226415094,0.00562782054685426,86.2566404103316,100
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK PINK} => {CHILDS GARDEN FORK BLUE}",0.00828245288027608,0.939759036144578,0.00881337934696045,85.9240846882676,156
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK PINK} => {CHILDS GARDEN FORK BLUE}",0.00838863817361295,0.929411764705882,0.00902574993363419,84.978012564249,158
"{84559B} => {84559A}",0.0050968940801699,0.648648648648649,0.00785771170692859,84.8423423423423,96
"{84559A} => {84559B}",0.0050968940801699,0.666666666666667,0.00764534112025484,84.8423423423423,96
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN FORK PINK}",0.00536235731351208,0.961904761904762,0.00557472790018582,82.7282017829963,101
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN FORK BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN FORK PINK}",0.00530926466684364,0.961538461538462,0.00552163525351739,82.6966982788901,100
"{CHILDS GARDEN FORK BLUE,CHILDRENS GARDEN GLOVES BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN FORK PINK}",0.00514998672683833,0.96039603960396,0.00536235731351208,82.5984447759844,97
"{CHILDS GARDEN FORK BLUE,CHILDRENS GARDEN GLOVES PINK} => {CHILDS GARDEN FORK PINK}",0.00557472790018582,0.954545454545455,0.00584019113352801,82.0952677459527,105
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE} => {CHILDS GARDEN FORK PINK}",0.00828245288027608,0.951219512195122,0.00870719405362357,81.8092215168727,156
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE,CHILDRENS GARDEN GLOVES BLUE} => {CHILDS GARDEN FORK PINK}",0.00514998672683833,0.950980392156863,0.00541544996018052,81.7886561017101,97
"{BLUE FELT EASTER EGG BASKET} => {PINK FELT EASTER EGG BASKET}",0.00658348818688612,0.760736196319018,0.00865410140695514,80.497001447577,124
"{PINK FELT EASTER EGG BASKET} => {BLUE FELT EASTER EGG BASKET}",0.00658348818688612,0.696629213483146,0.00945049110698168,80.497001447577,124
"{CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE} => {CHILDS GARDEN FORK PINK}",0.00838863817361295,0.93491124260355,0.00897265728696576,80.4066358650131,158
"{CHILDS GARDEN TROWEL BLUE,CHILDS GARDEN TROWEL PINK,CHILDRENS GARDEN GLOVES PINK} => {CHILDRENS GARDEN GLOVES BLUE}",0.0062649323068755,0.929133858267717,0.00674276612689143,79.5465282748747,118
